"variable","Unbiased","Biased"
"Age_Group",0.0520684341144317,0.829406769478927
"Gender",0.0281153416209879,0.164450883313739
"Race_or_Ethnicity",0.0872410171591983,0.455487720834268
"Education",0.027995740710513,0.132877727026558
"Smoker",0.0288225134111411,0.0561256630057977
"SBP",0.0664744337468359,0.147792884827144
"FPG",0.0194816100498593,0.0752000670558737
"TC",0.00690675167225325,0.0354358984016091
"CVDHISTORY",0.0193722659154586,0.0488746356012066
"CVDPOINTS",0.0201234198021947,0.201702603424942
"SERUMCREAT",0.0446238779613041,0.25599924293019
"GFRESTIMATE",0.0215190649222615,0.315962352866083
