"variable","Unbiased","Biased"
"Age_Group",0.0520684341144317,0.0520684341144317
"Gender",0.0281153416209879,0.0281153416209879
"Race_or_Ethnicity",0.0872410171591983,0.0872410171591983
"Education",0.027995740710513,0.027995740710513
"Smoker",0.0288225134111411,0.0288225134111411
"SBP",0.0664744337468359,0.0664744337468359
"FPG",0.0194816100498593,0.0194816100498593
"TC",0.00690675167225325,0.00690675167225325
"CVDHISTORY",0.0193722659154586,0.0193722659154586
"CVDPOINTS",0.0201234198021947,0.0201234198021947
"SERUMCREAT",0.0446238779613041,0.0446238779613041
"GFRESTIMATE",0.0215190649222615,0.0215190649222615
