"Seed","CC_Size","TA_CC","TA_HC","TA_HC_Prop","TA_HC_IPF","TA_HC_Both"
1,900,-15.4002222222222,-15.3542,-15.3081798973529,-15.4567,-15.6873137375758
1,800,-15.43125,-15.3291,-15.3771755919312,-15.8357,-15.7403043665107
1,700,-15.495,-15.3333,-15.5150925863789,-16.009,-15.9035435770887
1,600,-15.5168333333333,-15.2604,-15.5390775342407,-16.0922,-15.7695294827682
1,500,-15.4062,-15.1405,-15.3120091849513,-15.8753,-15.5905702587942
1,400,-15.342,-14.9851,-15.2624501224631,-15.7952,-15.6184829588538
1,300,-15.328,-14.9057,-15.2312123484374,-15.7044,-15.7411945353852
1,200,-15.3845,-14.8232,-15.3885092313008,-15.794,-15.7125052567958
1,100,-15.289,-14.7282,-15.4278578982229,-15.6551,-15.7234885753922
2,900,-15.042,-14.9973,-15.125948055713,-14.8446,-14.5059849003026
2,800,-14.952875,-14.8177,-15.0733570275482,-14.6002,-14.4534421247516
2,700,-15.0251428571429,-14.8532,-15.0759399288544,-14.8777,-14.5722355114071
2,600,-15.0865,-14.8262,-15.1030097173573,-15.1581,-14.6793165663441
2,500,-14.9902,-14.6832,-15.0512724419355,-14.9687,-14.947607306784
2,400,-14.88325,-14.6849,-15.0673926479041,-15.3688,-15.1944612232751
2,300,-14.9656666666667,-14.7496,-15.2850776814667,-15.4464,-15.6071544033389
2,200,-15.0585,-14.7308,-15.3754762802612,-15.4987,-15.6968988448261
2,100,-15.109,-14.763,-15.6944732163877,-15.9367,-15.9034102893088
3,900,-14.7664444444444,-14.7024,-14.7043307901919,-14.9296,-14.7091903679346
3,800,-14.74475,-14.6543,-14.7270637748034,-15.0534,-14.8963431944009
3,700,-14.7291428571429,-14.5528,-14.7023293995045,-15.301,-14.8948206855991
3,600,-14.6865,-14.4934,-14.6323189221253,-15.3771,-15.372078334429
3,500,-14.7046,-14.4285,-14.6355892220121,-15.4228,-15.1463111993296
3,400,-14.694,-14.3569,-14.5683967948801,-15.2201,-15.0680383301947
3,300,-14.864,-14.3538,-14.7658190824087,-15.1979,-15.5034612127025
3,200,-15.232,-14.2796,-14.7166416326761,-15.2551,-15.2896249284247
3,100,-15.395,-14.2474,-14.5957797926662,-15.2557,-15.3366909176662
4,900,-14.4516666666667,-14.4118,-14.4226206433043,-14.1687,-14.0483007631092
4,800,-14.45325,-14.3815,-14.2356697647358,-14.2611,-13.9082606996131
4,700,-14.4555714285714,-14.3417,-14.2760019156795,-14.3042,-14.0824786018716
