"Seed","CC_Size","TA_CC","TA_HC","TA_HC_Prop","TA_HC_IPF","TA_HC_Both"
1,1000,-0.376097089807643,-0.376097089807643,-0.376097089807643,-0.35632523722863,-0.35632523722863
1,750,-0.300426768094326,-0.419612850455396,-0.286631440805873,-0.488031980008001,-0.343677204003389
1,500,-0.226288077406666,-0.482929348735942,-0.217977754396291,-0.506410786001659,-0.239295605506474
1,250,-0.386695477922768,-0.627099109973718,-0.20311030145539,-0.654743471018813,-0.151250952053745
1,0,NA,-0.683180925456297,-0.129600162540306,-0.725089434932742,-0.0911074800269577
2,1000,-0.193880086432604,-0.193880086432604,-0.193880086432604,-0.467864184396112,-0.467864184396112
2,750,-0.189907274007182,-0.340692122082616,-0.215790876821933,-0.566863474053406,-0.413717684087574
2,500,-0.148257147619953,-0.431613399228483,-0.207928678445879,-0.688847758689981,-0.422538596125168
2,250,-0.0555621048601083,-0.528543823873546,-0.236391722895968,-0.817673078174749,-0.407784822471992
2,0,NA,-0.655549433159981,-0.257753284907401,-0.960623863746205,-0.598605109658397
3,1000,-0.196297229441495,-0.196297229441495,-0.196297229441495,-0.0441589472250722,-0.0441589472250722
3,750,-0.0711662811923237,-0.240923734908418,-0.0760284083282612,0.0247888965179539,0.185907708565548
3,500,-0.0882756867305027,-0.383570343346131,-0.0565508879020209,-0.167064666029471,0.185911047008963
3,250,-0.112573153155128,-0.533389736222928,-0.211695720154704,-0.351970679824523,0.198900681071045
3,0,NA,-0.646329615681178,-0.134450849801401,-0.459927467572477,0.232960602037806
4,1000,-0.071318548154466,-0.071318548154466,-0.071318548154466,-0.406427875318146,-0.406427875318146
4,750,-0.15026032909604,-0.253666017696988,-0.14806184522632,-0.567758911543154,-0.507886470841668
4,500,-0.143658793485107,-0.360307818797408,-0.117194902773789,-0.688076726261599,-0.478374211687043
4,250,0.086019383688039,-0.417823530538456,-0.0655024327876807,-0.715730546050332,-0.366759302067036
4,0,NA,-0.537413512365448,-0.132881148947548,-0.805807610621412,-0.385769021368931
5,1000,-0.411338038971664,-0.411338038971664,-0.411338038971664,-0.267679986240949,-0.267679986240949
5,750,-0.48191839357934,-0.636930821384473,-0.49829015229325,-0.531352474654508,-0.444454256841907
5,500,-0.562282413599579,-0.787873363129275,-0.568284852734514,-0.726927869860039,-0.5295411752745
5,250,-0.703541273200759,-0.917534443069698,-0.613007998416276,-0.787497151707207,-0.588724118864379
5,0,NA,-0.969691715404218,-0.564549623783217,-0.888781004723963,-0.577334778437841
6,1000,-0.292892558924802,-0.292892558924802,-0.292892558924802,-0.357854391319273,-0.357854391319273
6,750,-0.337262540247522,-0.544553274585077,-0.380149869538355,-0.49867732355169,-0.347992206753843
6,500,-0.477141372237498,-0.763613057472285,-0.521523489019193,-0.604485288440911,-0.42958314808762
6,250,-0.562268102026402,-0.878042641966479,-0.535341791842487,-0.704392386400224,-0.394804104709904
6,0,NA,-0.957276207497605,-0.493449320976909,-0.756917286006291,-0.273320595630563
7,1000,-0.570786674310363,-0.570786674310363,-0.570786674310363,-0.576308441907295,-0.576308441907295
7,750,-0.601651973910439,-0.67198140445087,-0.56511327568962,-0.667260232771284,-0.572300572057638
7,500,-0.673604766120686,-0.745840465911895,-0.571282526137192,-0.721996598794158,-0.51755810333297
7,250,-0.80519110846555,-0.810017570593966,-0.6032932765776,-0.775761690582924,-0.547615981154817
7,0,NA,-0.811246434339637,-0.339927998264844,-0.853536528075074,-0.356754049747203
8,1000,-0.294699582192186,-0.294699582192186,-0.294699582192186,-0.273233220947086,-0.273233220947086
8,750,-0.448678523869566,-0.537695783831595,-0.430843927487242,-0.521404778936931,-0.359831050324706
8,500,-0.385728078645936,-0.577649793878637,-0.356318642249317,-0.585815076773424,-0.314625381462865
8,250,-0.194740374542268,-0.625681476515893,-0.301712027051447,-0.678388409015187,-0.175183723891466
8,0,NA,-0.745143761438304,-0.277206124431639,-0.840109861280011,-0.342518946531177
9,1000,-0.228343069296927,-0.228343069296927,-0.228343069296927,-0.0634021901012341,-0.0634021901012341
9,750,-0.270379670760018,-0.404742313677936,-0.270009184792391,-0.30892458126674,-0.169117243414321
9,500,-0.227407380852549,-0.505537780882406,-0.225792550246385,-0.454471936740498,-0.201993959018096
9,250,-0.210438489805161,-0.610272754570715,-0.215704663596875,-0.573409042195796,-0.156877633753857
9,0,NA,-0.711983812813869,-0.17457078421584,-0.684189742060985,-0.236499088255676
10,1000,-0.125909483453213,-0.125909483453213,-0.125909483453213,-0.0719370572234017,-0.0719370572234017
10,750,-0.0409050311036203,-0.21062820043465,-0.0439883366017475,-0.250454499955652,-0.040762302209323
10,500,-0.0561357789930306,-0.354645276507933,-0.0512122938397355,-0.33515879242356,-0.0970468950891764
10,250,-0.0441356287192386,-0.454636505311394,0.0417094709192097,-0.421435742583281,-0.0971318687566842
10,0,NA,-0.566770370684787,0.105384213780174,-0.429413514438186,0.106373467608748
11,1000,-0.378622884687277,-0.378622884687277,-0.378622884687277,-0.234109154641085,-0.234109154641085
11,750,-0.316538125113183,-0.457836106882365,-0.292670947643411,-0.32900673259939,-0.218051567833458
11,500,-0.35039370094648,-0.592145614403045,-0.288443095499447,-0.463405734923354,-0.201657950791044
11,250,-0.390378425648632,-0.706887494567087,-0.200507492960039,-0.524507907678953,-0.0491687912885086
11,0,NA,-0.795919265322295,-0.0439704183218421,-0.648709200052457,0.0475590459411193
12,1000,-0.34679488602513,-0.34679488602513,-0.34679488602513,-0.494494864495682,-0.494494864495682
12,750,-0.480516538135685,-0.534205440448459,-0.431402023393428,-0.630260300783876,-0.529132080664934
12,500,-0.395965250384609,-0.560410096054679,-0.343857026207401,-0.669806223057499,-0.484818632047535
12,250,-0.359198262831516,-0.651367573240615,-0.319507005247726,-0.721110525893067,-0.375257120562472
12,0,NA,-0.734069980167173,-0.262711715492136,-0.817210737112462,-0.231329535792724
13,1000,-0.52110006857477,-0.52110006857477,-0.52110006857477,-0.585925558958845,-0.585925558958845
13,750,-0.476825271481816,-0.632436546279168,-0.493619376707019,-0.595526908449695,-0.455335169830381
13,500,-0.537907607607396,-0.79060385829674,-0.52787706233674,-0.790090356060384,-0.505691651485201
13,250,-0.576903854977766,-0.920570924787106,-0.524683610565322,-0.922521101657669,-0.560155128499479
13,0,NA,-0.997320598819827,-0.598149106200582,-0.978648082909541,-0.475505682270049
14,1000,-0.0566396146723785,-0.0566396146723785,-0.0566396146723785,0.177714428970194,0.177714428970194
14,750,-0.0857489343005298,-0.292871471620908,-0.163698436533335,-0.0684728517395785,-0.00199831621275242
14,500,-0.223171032020732,-0.503088036602379,-0.278932800331532,-0.260835923745291,-0.0995824317293241
14,250,-0.212225213029151,-0.616572816405331,-0.29663314891724,-0.307593176348001,-0.0833549755635183
14,0,NA,-0.736977589171552,-0.226070234757066,-0.376301188993197,-0.0704386625988917
15,1000,-0.101732794911034,-0.101732794911034,-0.101732794911034,-0.034242371978866,-0.034242371978866
15,750,-0.106457203191822,-0.271340242884055,-0.133313233566768,-0.180168744486594,-0.00640357475587432
15,500,-0.311420136109497,-0.461733751835174,-0.223027106198413,-0.339273642730561,-0.0196422656308335
