"Seed","CC_Size","TA_CC","TA_HC","TA_HC_Prop","TA_HC_IPF","TA_HC_Both"
1,1000,-0.376097089807643,-0.376097089807643,-0.376097089807643,-0.35632523722863,-0.35632523722863
1,750,-0.300426768094326,-0.251822377247583,-0.284406475250426,-0.371249969420744,-0.402412056437336
1,500,-0.226288077406666,-0.155226061326034,-0.176019973582802,-0.317972518120608,-0.258566977500169
1,250,-0.386695477922768,-0.157324769480639,-0.258240775617901,-0.316730363720641,-0.301829982883365
1,0,NA,-0.0674839369095084,-0.158437673589691,-0.324804948761985,-0.296043452132719
2,1000,-0.193880086432604,-0.193880086432604,-0.193880086432604,-0.467864184396112,-0.467864184396112
2,750,-0.189907274007182,-0.207297624241464,-0.198926688713705,-0.463800770080847,-0.42430462197763
2,500,-0.148257147619953,-0.209703364142832,-0.205999790243957,-0.520097104934137,-0.510825967332703
2,250,-0.0555621048601083,-0.226069750025962,-0.207828635410088,-0.591935291300347,-0.546589056679766
2,0,NA,-0.277771170816955,-0.273033840981215,-0.644000068530196,-0.695649266173244
3,1000,-0.196297229441495,-0.196297229441495,-0.196297229441495,-0.0441589472250722,-0.0441589472250722
3,750,-0.0711662811923237,-0.0933435049691857,-0.116073244645187,0.187334632363738,0.116079450264135
3,500,-0.0882756867305027,-0.127495941311933,-0.132244402956956,0.119201681239791,0.100181498071648
3,250,-0.112573153155128,-0.158619211299096,-0.103857312840738,0.0245087240070158,0.12192977498663
3,0,NA,-0.181702276978307,-0.100594334071284,-0.0560329554721454,0.185678116870626
4,1000,-0.071318548154466,-0.071318548154466,-0.071318548154466,-0.406427875318146,-0.406427875318146
4,750,-0.15026032909604,-0.144768862222198,-0.152098626638334,-0.425212941698014,-0.509581611347504
4,500,-0.143658793485107,-0.140063760589975,-0.137471157427829,-0.44366427873835,-0.564238668711415
4,250,0.086019383688039,-0.0785767395455905,-0.0945575164064976,-0.382924572020454,-0.554023033866248
4,0,NA,-0.116933480481118,-0.234264557892155,-0.496566071018713,-0.587696980707859
5,1000,-0.411338038971664,-0.411338038971664,-0.411338038971664,-0.267679986240949,-0.267679986240949
5,750,-0.48191839357934,-0.477168435140536,-0.455506384076426,-0.42047553231631,-0.431699782704468
5,500,-0.562282413599579,-0.51405735388819,-0.497588778985984,-0.545660568924231,-0.511677253165868
5,250,-0.703541273200759,-0.542429128881363,-0.504658514426009,-0.561257172855126,-0.466094917967879
