"Seed","CC_Size","TA_CC","TA_HC","TA_HC_Prop","TA_HC_IPF","TA_HC_Both"
1,1000,-0.376097089807643,-0.376097089807643,-0.376097089807643,-0.35632523722863,-0.35632523722863
1,750,-0.300426768094326,-0.265448832670967,-0.26073388599737,-0.298804448983531,-0.348390891513057
1,500,-0.226288077406666,-0.224980357465877,-0.234038960779502,-0.297855540247766,-0.360282064347305
1,250,-0.386695477922768,-0.251005969991165,-0.25474047623981,-0.304010084014264,-0.370614845570352
1,0,NA,-0.199769013689857,-0.0837835731264433,-0.314928448457013,-0.391391079816164
2,1000,-0.193880086432604,-0.193880086432604,-0.193880086432604,-0.467864184396112,-0.467864184396112
2,750,-0.189907274007182,-0.201075920042923,-0.182286956357161,-0.38118842552759,-0.351201384982183
2,500,-0.148257147619953,-0.206038602196089,-0.172523170086672,-0.445029845168548,-0.386120606842973
2,250,-0.0555621048601083,-0.206036062917864,-0.261065684643238,-0.443589340425241,-0.432455932846002
2,0,NA,-0.239717817780607,-0.161752255002399,-0.444212794552503,-0.450950879166532
3,1000,-0.196297229441495,-0.196297229441495,-0.196297229441495,-0.0441589472250722,-0.0441589472250722
3,750,-0.0711662811923237,-0.160580486339459,-0.128031255008681,0.0839502224881684,0.0816881816200212
3,500,-0.0882756867305027,-0.234412065701889,-0.230537818015916,-0.0816922077659516,-0.109723174652587
3,250,-0.112573153155128,-0.29892717659226,-0.232348787665082,-0.128150900650972,-0.0907626356033322
3,0,NA,-0.345842462193471,-0.379894094491098,-0.158383706988329,-0.181726742047186
4,1000,-0.071318548154466,-0.071318548154466,-0.071318548154466,-0.406427875318146,-0.406427875318146
4,750,-0.15026032909604,-0.162490717596271,-0.168733085348136,-0.556134683169389,-0.549714131560188
4,500,-0.143658793485107,-0.171441031480958,-0.185685237730892,-0.526707652963595,-0.575169234060316
4,250,0.086019383688039,-0.124668083410466,-0.103647984053157,-0.348600355280859,-0.409996840278743
4,0,NA,-0.19243339113812,-0.179257771976985,-0.317935928652057,-0.354221021176886
5,1000,-0.411338038971664,-0.411338038971664,-0.411338038971664,-0.267679986240949,-0.267679986240949
5,750,-0.48191839357934,-0.485199190866478,-0.494420895920145,-0.358014960300862,-0.409935782026752
5,500,-0.562282413599579,-0.500141726252707,-0.50108618182556,-0.469489965786902,-0.493882633916643
5,250,-0.703541273200759,-0.502424828279951,-0.504875606985097,-0.441110902152403,-0.413868469228989
5,0,NA,-0.419518222667,-0.386466945871248,-0.406878786859092,-0.385839500478521
6,1000,-0.292892558924802,-0.292892558924802,-0.292892558924802,-0.357854391319273,-0.357854391319273
6,750,-0.337262540247522,-0.371830791875909,-0.37192185235236,-0.351844145334643,-0.30251772655047
6,500,-0.477141372237498,-0.469754107115568,-0.444615030959275,-0.381213444252246,-0.357028092790531
6,250,-0.562268102026402,-0.494218149441125,-0.451474072997501,-0.381086690341429,-0.338510134705881
6,0,NA,-0.477411662418626,-0.472726202364384,-0.339916238150325,-0.306213032421632
7,1000,-0.570786674310363,-0.570786674310363,-0.570786674310363,-0.576308441907295,-0.576308441907295
7,750,-0.601651973910439,-0.580896168100815,-0.580172145040815,-0.634942242166594,-0.635499713513685
7,500,-0.673604766120686,-0.588427813849263,-0.598863371512077,-0.625024533477002,-0.596469817780077
7,250,-0.80519110846555,-0.559654161854111,-0.531771323238597,-0.480031366139864,-0.381632573994976
7,0,NA,-0.474786942797952,-0.486317183677847,-0.381705384068073,-0.240271110415581
8,1000,-0.294699582192186,-0.294699582192186,-0.294699582192186,-0.273233220947086,-0.273233220947086
8,750,-0.448678523869566,-0.412279140251245,-0.414047752273304,-0.378067462184301,-0.37267783509439
8,500,-0.385728078645936,-0.341518799211132,-0.352089879164786,-0.302931236545702,-0.285271661758599
8,250,-0.194740374542268,-0.271686110379362,-0.228316765306792,-0.262109627913227,-0.198920232549959
8,0,NA,-0.300854761179638,-0.341274093163867,-0.339073014136498,-0.395063911761194
9,1000,-0.228343069296927,-0.228343069296927,-0.228343069296927,-0.0634021901012341,-0.0634021901012341
9,750,-0.270379670760018,-0.244539637993414,-0.241467858885658,-0.105760954347972,-0.107761442911235
9,500,-0.227407380852549,-0.189683815805724,-0.212318786643818,-0.132524496469021,-0.168533891520626
9,250,-0.210438489805161,-0.157779085384575,-0.228105146468605,-0.116422855073257,-0.150843465099975
9,0,NA,-0.15925421554158,-0.0257729907772856,-0.181431935704299,-0.0502789156490648
10,1000,-0.125909483453213,-0.125909483453213,-0.125909483453213,-0.0719370572234017,-0.0719370572234017
10,750,-0.0409050311036203,-0.0450846850337954,-0.0603449242716886,-0.035630875983301,-0.0431622653307537
10,500,-0.0561357789930306,-0.0701082641117054,-0.0570201681514,-0.0454458162768184,-0.0688456993067799
10,250,-0.0441356287192386,-0.0708118015520267,-0.00754442535376231,-0.061490993281435,-0.0323560368273432
10,0,NA,-0.0704777819747556,-0.0880236118903346,-0.0474992276555528,-0.028679862284297
11,1000,-0.378622884687277,-0.378622884687277,-0.378622884687277,-0.234109154641085,-0.234109154641085
11,750,-0.316538125113183,-0.322328262365656,-0.331283837265771,-0.210074767801879,-0.162641127316977
11,500,-0.35039370094648,-0.338095288803721,-0.367414645528101,-0.203333457498361,-0.241960703415712
11,250,-0.390378425648632,-0.339224213105407,-0.363279356371608,-0.206706551297278,-0.238983851674627
11,0,NA,-0.329814961105876,-0.249094750993268,-0.268647926052353,-0.188701692874341
12,1000,-0.34679488602513,-0.34679488602513,-0.34679488602513,-0.494494864495682,-0.494494864495682
12,750,-0.480516538135685,-0.431322570671325,-0.449698736371765,-0.493843227698228,-0.512155895199986
12,500,-0.395965250384609,-0.323208457103192,-0.353875989474908,-0.455601311449245,-0.504881094151723
12,250,-0.359198262831516,-0.255726564503768,-0.287308555049958,-0.36276134333914,-0.344458476807193
12,0,NA,-0.209731084968589,-0.149351404757177,-0.248717390140572,-0.19295350448251
13,1000,-0.52110006857477,-0.52110006857477,-0.52110006857477,-0.585925558958845,-0.585925558958845
13,750,-0.476825271481816,-0.497391471456889,-0.5134489641384,-0.506682935820962,-0.462147703064161
13,500,-0.537907607607396,-0.551963409249991,-0.556971930401718,-0.598581177089751,-0.591790330666423
13,250,-0.576903854977766,-0.589398775425646,-0.585408976430354,-0.694225544487514,-0.773474160752139
13,0,NA,-0.611174365924615,-0.727699189303716,-0.625880039160351,-0.701516052004691
14,1000,-0.0566396146723785,-0.0566396146723785,-0.0566396146723785,0.177714428970194,0.177714428970194
14,750,-0.0857489343005298,-0.140152508152776,-0.139733414378757,0.0317600334361822,0.0693661469560257
14,500,-0.223171032020732,-0.254857833934642,-0.234911684833772,-0.126029089277312,-0.0627772333248541
14,250,-0.212225213029151,-0.272505464166851,-0.176838483655596,-0.0952867564372442,-0.0270775985541104
14,0,NA,-0.269494194508872,-0.214118844111098,-0.0793128396485108,-0.107710065778334
15,1000,-0.101732794911034,-0.101732794911034,-0.101732794911034,-0.034242371978866,-0.034242371978866
15,750,-0.106457203191822,-0.108153829828823,-0.109760505186631,-0.027267672160722,-0.0362927540035192
15,500,-0.311420136109497,-0.225984014373892,-0.215240622228388,-0.133200953098364,-0.0765356961438046
15,250,-0.34145094851064,-0.186376954411611,-0.211825558619744,-0.128721656667991,-0.131705844386975
15,0,NA,-0.145734096632216,-0.0677224895660331,-0.192557594018848,-0.0877533649955328
