,PATT_ground
1,-15.27353741
2,-15.03628885
3,-15.31500194
4,-14.92697488
5,-15.07968306
6,-15.30973239
7,-15.20574999
8,-15.20244217
9,-15.43982634
10,-15.85960197
11,-15.48935206
12,-14.71461432
13,-14.91009016
14,-14.49388918
15,-14.84572301
16,-15.28464016
17,-15.32503492
18,-14.79080652
19,-15.08886047
20,-14.70589774
21,-15.191415
22,-15.30203341
23,-15.18556638
24,-15.11112654
25,-15.02221864
26,-14.87641149
27,-15.63222528
28,-15.24569299
29,-14.95222393
30,-15.43873846
31,-14.89303794
32,-15.14924794
33,-15.33151505
34,-14.84423138
35,-15.29070882
36,-15.16841831
37,-14.83616431
38,-15.27345373
39,-15.27099646
40,-15.30503164
41,-15.38347836
42,-15.21945066
43,-15.14422408
44,-15.22769075
45,-15.16926041
46,-15.4748488
47,-15.11859818
48,-15.16080422
49,-15.68892509
50,-15.53101712
