"x1","x2","x3","x4","x5","Tr","y","failed"
1,0,3,4.49916970882791,1.65241736601793,1,0.255091459028594,1
1,0,1,-1.12974365648498,5.55565817032857,1,4.86938159884818,0
1,1,0,3.88975478151757,9.40760179428936,1,3.47527049594718,0
1,1,3,-7.99415150528429,-1.91198477160337,0,0.0365898105873764,1
1,1,2,-0.405818437914164,-1.79931507134144,1,0.235745681850552,1
1,0,0,1.63301270775732,-1.10516408783374,1,5.66619346232229,1
1,1,0,1.52431710842216,-0.244887098865091,1,0.275377344159059,0
1,1,1,-7.36101892379183,1.98055858615371,1,2.50853069894879,1
1,1,3,-2.18035135428208,2.54438056036165,1,0.196388576163614,1
1,0,3,-3.61088259816534,-7.61676627313978,1,0.0785141717217605,1
1,0,2,1.00244861879462,3.42907761566762,1,0.188031997531652,0
1,0,0,8.45403179173966,-2.92227090608105,0,0.697935170726201,1
1,0,0,5.49658214207127,-4.88153789845214,0,0.595424270604396,1
1,0,1,8.68076747263947,-0.380903710594513,1,1.24817388279687,1
1,1,3,10.6017395710757,0.0795743027040849,1,0.048552601562552,1
1,1,4,11.197971999471,-2.05368880881909,1,0.00990758983543217,1
1,0,0,6.47440870895888,-2.29024436023503,1,2.42398783564568,0
0,0,2,-2.31863036896672,2.13419313865375,0,0.0771029107272625,0
1,0,2,8.23993059131637,-2.24375071692491,1,0.289136199852642,1
1,0,2,-0.731112045536662,-7.40016463878348,1,0.207475894200289,1
1,0,1,-0.411950732349723,2.86707225618837,1,1.30425195840479,0
1,1,3,-7.1087948452466,-4.21168990039376,1,0.0774715836097274,1
1,1,4,-6.29824490628577,-0.974405830963276,0,0.0123787839711384,1
1,1,0,-2.70599884121151,3.87235380674376,0,2.29140500844491,1
1,1,3,-1.74961571963826,-4.7578862863377,1,0.0473172873752108,1
1,0,0,-8.67423902576456,3.18226343118781,1,7.01553701705543,0
1,1,1,-0.938267660845483,-2.95149544747576,1,0.614739781812451,1
1,1,1,9.92156763376931,2.0179975632061,1,0.720813065580391,1
1,1,0,7.23356126637604,1.22326196960921,1,0.976985680560271,0
1,1,0,-1.54599101668268,-0.985280771132381,1,2.92057792765375,1
1,1,1,1.50101677318266,4.590532514219,0,0.619603409706773,1
1,1,0,-16.2616493187428,-0.516504124032188,0,2.65462244730792,1
0,0,0,-3.9791838247495,0.79793963285162,1,0.777033734104879,1
1,0,0,9.14278753061664,-1.74097787427881,1,2.60986596966783,0
1,0,0,0.844930761740649,5.07891952498903,0,5.57202460488405,1
1,1,1,13.0588029400453,4.59239621294676,0,0.267917291951906,1
1,0,4,-11.1228980050017,4.2363414003566,0,0.118590656063453,1
1,0,2,-2.95298852157771,-1.70610008886053,1,0.721738516508501,1
1,1,0,-14.522106936075,0.730118646209888,0,2.967424262979,1
1,0,2,7.07001068447444,-0.266443799175427,0,0.13109886618862,1
1,1,0,4.77084531221008,4.11288344239906,1,3.45046758962174,0
0,1,1,11.9765189452888,-5.60068354663826,0,0.0184540096964663,1
0,1,0,12.2514192137927,0.796779976296897,1,0.0956892413547549,1
1,1,0,-5.57873403835207,6.43068173590308,0,4.59657262229337,1
1,1,3,15.0932293921485,-3.17325317021581,0,0.00538641013167248,1
1,0,0,6.13509315205687,-3.80526510274081,0,0.69791445103007,1
1,0,0,0.47499629675778,-1.56796477076293,0,1.61215758606314,1
1,1,3,-20.6971125731766,-0.972270936521134,0,0.110030882602221,1
1,0,2,-8.31808721556536,-10.9591987464767,0,0.0521654227009627,1
1,1,2,-10.8507291901218,-4.10649893551239,0,0.0925907114418889,1
1,1,1,9.30239791577371,2.11300714224765,0,0.219348370687761,1
1,0,2,-9.96832122762709,-7.2955894909711,1,0.413765746047785,1
1,0,3,-1.57762661019864,4.15485274049952,1,0.638827582343926,1
1,0,0,13.3680374144936,6.43297009488325,1,8.50854713441738,0
0,1,2,-9.1903621813664,-4.51086627275044,0,0.0337737536151078,1
1,1,3,-17.0867462242637,6.9858207032943,0,0.0302357226610184,0
1,0,0,-1.1241435654748,-1.1300020451984,1,0.438564495798743,0
0,1,1,13.6945051226358,-1.76416518380792,0,0.0338495172359248,1
1,1,0,-2.78993951744087,3.62263059776229,1,4.06450372189283,0
1,1,0,-3.33997213325692,0.017758880491602,0,1.15074410423035,1
0,0,2,-2.09986751590292,1.11399023099269,0,0.147470000923951,1
1,0,3,-13.3277474915679,-0.970318400227692,1,0.564187724588925,1
1,1,1,-10.6051953651261,-3.80180606881261,0,0.301233350561689,1
1,0,2,-4.46801209920446,0.102317894984875,1,1.13720696549685,1
1,0,0,-6.67192943216911,-3.49169447850392,1,6.56854054804028,1
0,1,3,-3.39552060412642,-2.68661203236134,0,0.0100488080811553,1
1,1,4,3.46509829554083,-0.337494121160899,1,0.0240858074437549,1
1,1,1,-6.9437327776035,-7.18608914969678,0,0.121153347845876,1
1,0,1,11.5169317104549,-0.693996307558026,1,0.95712370003294,1
1,0,0,-4.3290325197248,-3.53476976436752,1,0.673064004046793,0
1,1,3,3.64945010472541,0.753429812884395,1,0.0914352271462,1
1,1,4,0.0883543379974938,-1.7057669437962,1,0.0237090007685712,1
1,1,1,15.4829279249822,2.98106637540678,0,0.165274151279655,1
1,1,0,-3.39975441534172,-2.64493570848282,0,0.695714030943673,1
1,0,1,-2.52020545478375,-5.38831049629061,0,0.30951996071314,1
1,0,0,0.375247690485033,-0.261299748936606,1,5.34096636373777,0
1,0,0,4.89991630734553,-1.0481198444438,0,1.29116758452769,1
0,0,0,-2.36464033637699,2.49253652274025,1,0.9546453347144,1
1,0,3,-10.1009076199292,0.106999668192291,1,0.548162509734781,1
1,1,2,-4.89572968371301,2.9669866284854,1,0.810088676308189,1
1,1,2,2.80672058847022,-0.705306502047208,1,0.230018037253436,1
1,0,2,-3.79790043177773,-2.79767911644747,0,0.178063209218761,1
1,1,1,12.6783929813549,0.809485763270089,1,0.468693085932039,1
0,1,1,-7.22304362893323,-0.512637393091717,0,0.196074055142112,1
1,1,4,-23.287905154418,-5.5500675102235,1,0.062145856484918,1
1,1,4,-4.91336555366372,-2.70120843695585,0,0.00805520647397757,1
1,1,0,-5.93271948988932,3.82854719354252,0,2.87191797611596,1
0,1,0,0.86986686109438,-4.86138592447258,0,0.148659517436711,1
1,1,2,-10.2351099334212,2.5556923692624,0,0.315280341022101,1
1,1,3,0.48704682297447,-6.20821791476666,1,0.0305112914148883,1
1,0,0,-19.8816064968238,-2.83492387985739,1,1.70055118389428,0
1,1,0,2.11449567703008,-0.819205955402175,0,0.660361236442049,1
1,0,1,-10.4062789572163,7.26791997637075,1,1.61220096051693,0
1,0,1,4.62286222570552,-3.64257751958256,0,0.257087748565137,1
1,1,0,4.02728047310381,2.64558105722228,1,1.44443195002774,0
0,1,2,4.35916143483296,1.23549915638622,0,0.0377792461695683,1
1,0,2,-10.8576018735439,-3.069743406911,1,0.987689123269705,1
1,1,3,-2.17357586415538,1.31118130466364,1,0.155171450901701,1
1,1,1,-6.02666712207577,-1.56862872209077,0,0.330731648705609,1
0,1,2,-6.83335667129986,-4.32952036130063,1,0.0147324935510124,1
